index,residual,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
9.600000000000000000e+01,-3.766081835025683611e-01,1.189988117642459126e-01,-6.842702765880961935e-03,4.789298527677526840e-01,-6.096956774454413003e-02,3.970437488428959355e-02,7.919509517012193744e-02,1.532221126553892365e-01,8.171111851109541524e-02
9.700000000000000000e+01,2.172371526091015220e-02,1.205754182228802596e-01,-2.556537579064621299e-02,3.706298704751853079e-01,-7.807234449562702738e-02,3.984544525035199625e-02,7.007061406579866147e-02,1.330004776971319691e-01,7.532332063023207402e-02
9.800000000000000000e+01,-2.773426261292158967e-01,1.305091638489415118e-01,-1.235602270962604665e-01,7.218000918021885148e-01,-9.220474720341653718e-03,4.021364062358106367e-02,8.139672154698311679e-02,1.120238259916855744e-01,8.293449653360956964e-02
9.900000000000000000e+01,2.201681614919938634e-01,1.271883524379938402e-01,-6.401359270342938945e-01,1.360745191934658482e+00,-5.472102865422417972e-01,4.008982628969004480e-02,6.401242377078175672e-02,6.032292085917345670e-02,5.313327379509838466e-02
1.000000000000000000e+02,-2.876757720624746884e-01,1.208609239398076990e-01,-3.957935780342956844e-02,4.078598714073888853e-01,-9.150249898498451218e-02,3.986366970082911437e-02,7.010723488714200313e-02,1.507988115973306620e-01,7.241807704397167089e-02
1.010000000000000000e+02,-4.863892359441113200e-02,1.157483633282151841e-01,-1.123876152390919370e-01,6.265230620109834003e-01,-4.337749761319528025e-02,3.959567639781701870e-02,9.026603370266339521e-02,1.375322737770083015e-01,6.907182873326724037e-02
1.020000000000000000e+02,-5.640222519727187134e-01,1.175259237674417256e-01,1.042189016586845401e-02,5.129440241054945560e-01,-1.698526725109915370e-02,3.966390830899842179e-02,7.274260789905259705e-02,8.366787497468898549e-02,7.334580433519491405e-02
1.030000000000000000e+02,7.397181293635321508e-02,1.158002701263415590e-01,-1.358508964650328998e-01,5.768187479996211842e-01,-4.553509141721889808e-02,3.955924334794289066e-02,8.121044058223544915e-02,1.384670519579863091e-01,7.488343185455499651e-02
1.040000000000000000e+02,-2.937947682301808028e-01,1.156805428958904980e-01,-1.181127342418443749e-01,6.278804397735751053e-01,-4.223499448270737894e-02,3.959295260935545568e-02,8.848122197338083306e-02,1.394847511886764535e-01,6.950906941037079956e-02
1.050000000000000000e+02,-2.414523533452810899e-01,1.164607432323617464e-01,-1.141436223459590948e-01,4.492435749735672612e-01,-1.995285923417054047e-02,3.958818538564336936e-02,7.733673996139492357e-02,1.381618029883569243e-01,6.859324698680215049e-02
1.060000000000000000e+02,-3.192022860633619841e-01,1.165656423818021981e-01,-7.568410729409628945e-02,5.396602324327186562e-01,-3.584971773843130365e-03,3.961172155916720117e-02,8.172203371691802443e-02,1.596808220730364658e-01,6.776250687550687546e-02
1.070000000000000000e+02,2.799681309357781034e-01,1.250408485381041546e-01,-2.929047557015731496e-01,5.853549801697698340e-01,-1.200935751952793111e-02,4.003408899614219196e-02,8.256277105119440296e-02,1.513311925510710532e-01,9.945850526515340184e-02
1.080000000000000000e+02,-3.116269897290550595e-01,1.212812112513114160e-01,-5.323973052743972284e-02,4.568022432312245362e-01,-6.577445698402525909e-02,3.993692207308526670e-02,7.441159840286259985e-02,1.381273773113000647e-01,8.025053427329008338e-02
1.090000000000000000e+02,-4.068032723919436378e-01,1.211945122147097403e-01,-7.241938118500322250e-04,3.057953005912857347e-01,-5.114133660876409720e-02,3.993316825076043131e-02,7.513777574643540347e-02,1.411823628802916231e-01,5.120683761930816535e-02
1.100000000000000000e+02,-8.829157980590056354e-02,1.173197984562176638e-01,-7.846318047937532458e-02,4.928367304334990706e-01,4.283298709032731105e-02,3.961491383996802035e-02,7.241566361440583688e-02,1.122488752369452947e-01,7.998587157203392028e-02
1.110000000000000000e+02,1.456541890747952150e-01,1.153832479092235519e-01,-1.552804636644542491e-01,5.118270423011230807e-01,-4.607535365522306969e-02,3.955916922960217574e-02,8.575012115603819485e-02,1.532096362750010599e-01,7.440011272597174541e-02
